names, row_num, naics
PAPA MURPHYS TAKE AND BAKE PIZZA ,4 specialized food
BIG LOTS ,3 convenience
PARKLAND NEIGHBORHOOD FRESH STOP,1 grocery
SPEEDY MART,3 convenience
BLUEGRASS FARMERS MARKET,5 farmers market
MARKET ZONE ,3 convenience
TH ST FOOD MART,3 convenience
KEY MARKET,1 grocery
ACE SMOKE SHOP,3 convenience
DIXIE FOOD MARKET,3 convenience
JASMIN BAKERY,4 specialized food
CEDAR CREEK CORNER STORE,3 convenience
DISCOUNT CIGARETTE AND LIQUOR OUTLET ,3 convenience
SATNAM LLC,4 specialized food
DINA LLC DBA DINOS FOOD MART,3 convenience
WEST MARKET FOOD MART,3 convenience
ZAYED LLC DBA EXPRESSWAY MART,3 convenience
GARLAND FOOD MARKET,3 convenience
KENTUCKY FOOD MAX,1 grocery
HUNTERS MARKET,3 convenience
COCOS CAKES,4 specialized food
AA FOOD MART LLC,3 convenience
B QUICK,3 convenience
TIENDA CATRACHOS LLC ,4 specialized food
INDIAN TRAIL SAVEALOT,3 convenience
MOES,3 convenience
MINIT MAR ,3 convenience
S A BAKERY AND MARKET,4 specialized food
LAS AMERICAS MEXICAN STORE,4 specialized food
NAWAL GROCERY,1 grocery
ALISHAS FOORT MART,3 convenience
RPV ENTERPRISES INC,3 convenience
VIETNAM ORIENTAL FOOD MARKET,4 specialized food
BOMBAY INTERNATIONAL ,4 specialized food
GAGEL FOOD MARKET LLC,3 convenience
NORFORK FOOD MART,3 convenience
FRESH THYME FARMERS MARKET STM,5 farmers market
SHIVELY FRESH STOP MARKET,1 grocery
SUN VALLEY FRESH STOP MARKET,1 grocery
OLD LOUISVILLE FRESH STOP MARKET,1 grocery
PINK BOX BAKERY INC,4 specialized food
SAFARI FOOD MARKET LLC,3 convenience
TIENDA LOS AMIGOS LLC,4 specialized food
NEWBURG LIQUOR STORE,3 convenience
FOOD MART EXPRESS LLC,3 convenience
LA CIENFUEGUERA FOOD MARKET,4 specialized food
ALMUNA HALAL MEAT,4 specialized food
 STOP  GO,3 convenience
TONYS CONVENIENCE MART,3 convenience
COSTCO ,2 supercenter
BQUICK FOOD MART,3 convenience
GAGEL PIC PAC,1 grocery
CITY MARKET I,3 convenience
ASIAN BAZAAR LLC,4 specialized food
SAMIS LLC,3 convenience
THE ORIGINAL BARDSTOWN ROAD FARMERS MARKET,5 farmers market
OAKS FOOD MART LLC,3 convenience
AMINA FOOD MARKET,4 specialized food
TIKAL PLACITA LLC ,4 specialized food
YOGI MINIMART INC  MINIMART,3 convenience
MILLENNIUM LLC,3 convenience
FORTUNE  LLC  PIC PAC,3 convenience
STOP  SAVE FOOD MART,3 convenience