names,NAICS
THORNTONS QUICK CAFE  MARKET,445120
DAIRY MART,447110
PAPA MURPHYS TAKE N BAKE PIZZA KY,445120
CORNER MARKET,445120
WALMART SUPERCENTER,445110
CIRCLE K,445120
JRS QUICK MART,445120
WALGREEN,445120
SAVE A LOT,445110
RITE AID,445120
DOLLAR GENERAL MARKET,445120
CUBA FOOD MART,445200
DIXIE ORIENTAL MARKET,445200
JERRYS MARKET,445120
TARGET STORE T,445110
CVS PHARMACY,445120
BH INTERNATIONAL MARKET,445200
NEXT DOOR CONVENIENCE FOOD MART,445120
CARDINAL MARKET,445120
VALU MARKET,445110
GORDON FOOD SERVICE MARKETPLACE MP,445110
KROGER,445110
BROADWAY FOOD MART,447110
SPEEDY MART,445120
SPEEDWAY,445120
ZORN AVE BP,445120
PAPA MURPHYS TAKE N BAKE PIZZA,445120
DOLLAR TREE,445120
JCS CIGARETTE OUTLET,445120
DERBY DOLLAR STORE LLC,445120
DOLLAR GENERAL,445120
WALMART NEIGHBORHOOD MARKET,445110
SHORTYS FOOD MART,447110
FIVE STAR,445120
PATEL BROTHERS,445200
OUTER LOOP SHELL,445120
RIVER ROAD CHEVRON,445120
BRECKENRIDGE BP,445120
KLONDIKE MARKET  DELI,445120
WALGREENS,445120
A CHAU GROCERY,445200
LA BODEQUITA,445200
DINOS FOOD MART,447110
RITE AID PHARMACY,445120
SUBZI MANDI,445200
SAMS KWIK MART,447110
DISCOUNT CIGARETTE AND LIQUOR OUTLET,447110
ALDI,445110
DERBY SMOKE SHOP WEST GROCERY,447110
FINE STOP FOOD MART,447110
LA TROPICANA,445200
SAMS CLUB,452910
FAMILY DOLLAR STORE,445120
MI PREFERIDA,445200
OAK STREET FOODMART,447110
SOUTHWEST FARMERS MARKET,6
RAINBOW BLOSSOM,445110
SAVEASTEP,447110
RAINBOW BLOSSOM,445110
AFRICAN FOODWAY,445200
BUTCHERS BEST,445120
FAMILY DOLLAR STOER,445120
THORNTONS,445120